Machine Module SVA1075X
Trace Name,Trace A
Meas Type,S11
Start Frequency,+1.000000000E+05
Stop Frequency,+7.499900000E+09
Format,Log Mag
IFBW,1.000000e+04




Trace Data
Frequency,Formatted Data
1.000000e+05,-7.120771e-02
3.759900e+07,-1.260285e-02
7.509800e+07,-1.153438e-02
1.125970e+08,-2.338784e-02
1.500960e+08,-5.802324e-02
1.875950e+08,-1.608894e-02
2.250940e+08,7.263672e-04
2.625930e+08,-2.737430e-02
3.000920e+08,-3.338258e-03
3.375910e+08,5.367601e-03
3.750900e+08,-6.194779e-03
4.125890e+08,4.178111e-03
4.500880e+08,1.253983e-04
4.875870e+08,-1.063678e-02
5.250860e+08,7.730283e-03
5.625850e+08,-1.242150e-02
6.000840e+08,-2.199033e-02
6.375830e+08,-7.850452e-02
6.750820e+08,-2.882875e-02
7.125810e+08,-3.113158e-02
7.500800e+08,-2.994708e-02
7.875790e+08,-5.711460e-02
8.250780e+08,-5.185198e-02
8.625770e+08,-5.848747e-02
9.000760e+08,-6.425627e-02
9.375750e+08,-6.392594e-02
9.750740e+08,-2.218395e-02
1.012573e+09,-3.998327e-02
1.050072e+09,-3.056115e-02
1.087571e+09,-5.475415e-02
1.125070e+09,-4.711137e-02
1.162569e+09,-1.175698e-02
1.200068e+09,-2.408510e-02
1.237567e+09,-9.785752e-03
1.275066e+09,1.865408e-02
1.312565e+09,-1.310171e-03
1.350064e+09,-2.311525e-03
1.387563e+09,-2.679742e-02
1.425062e+09,-6.116334e-03
1.462561e+09,-4.208484e-02
1.500060e+09,-1.556525e-02
1.537559e+09,-4.677837e-02
1.575058e+09,-6.691379e-02
1.612557e+09,-3.938754e-02
1.650056e+09,-5.041397e-02
1.687555e+09,-6.586268e-02
1.725054e+09,-6.410383e-02
1.762553e+09,-6.095953e-02
1.800052e+09,-5.753068e-02
1.837551e+09,-4.574246e-02
1.875050e+09,-1.063313e-01
1.912549e+09,-5.541421e-02
1.950048e+09,-8.416205e-02
1.987547e+09,-3.458408e-02
2.025046e+09,6.432734e-02
2.062545e+09,-2.640365e-02
2.100044e+09,7.122230e-03
2.137543e+09,1.389814e-02
2.175042e+09,1.407187e-02
2.212541e+09,-1.554608e-03
2.250040e+09,-1.830030e-03
2.287539e+09,-7.466008e-03
2.325038e+09,5.131605e-03
2.362537e+09,-9.912617e-03
2.400036e+09,-6.975572e-02
2.437535e+09,-4.238253e-02
2.475034e+09,-3.067990e-02
2.512533e+09,-5.805941e-02
2.550032e+09,-7.402794e-02
2.587531e+09,-5.041325e-02
2.625030e+09,-6.720305e-02
2.662529e+09,-6.213180e-02
2.700028e+09,-7.843314e-02
2.737527e+09,-1.044030e-01
2.775026e+09,-9.601786e-02
2.812525e+09,-1.198146e-02
2.850024e+09,-4.023455e-02
2.887523e+09,-3.546373e-02
2.925022e+09,-3.202903e-02
2.962521e+09,-1.668560e-02
3.000020e+09,2.056550e-02
3.037519e+09,-2.009062e-02
3.075018e+09,-3.898462e-03
3.112517e+09,-1.234791e-02
3.150016e+09,-1.991738e-02
3.187515e+09,-2.728469e-02
3.225014e+09,-4.204949e-02
3.262513e+09,-1.019899e-01
3.300012e+09,-2.006800e-02
3.337511e+09,-8.138902e-02
3.375010e+09,-1.131215e-01
3.412509e+09,-9.559312e-02
3.450008e+09,-1.595328e-01
3.487507e+09,-1.711843e-01
3.525006e+09,-1.915454e-01
3.562505e+09,-1.952209e-01
3.600004e+09,-1.887690e-01
3.637503e+09,-1.624939e-01
3.675002e+09,-1.617449e-01
3.712501e+09,-8.747056e-02
3.750000e+09,-1.451734e-01
3.787499e+09,-1.150307e-01
3.824998e+09,-5.621057e-02
3.862497e+09,-5.697553e-02
3.899996e+09,-7.596038e-02
3.937495e+09,-5.773999e-02
3.974994e+09,-2.034841e-02
4.012493e+09,-4.260237e-02
4.049992e+09,-4.957031e-02
4.087491e+09,-6.788859e-02
4.124990e+09,-1.127348e-01
4.162489e+09,-1.041403e-01
4.199988e+09,-1.342591e-01
4.237487e+09,-1.138509e-01
4.274986e+09,-1.470470e-01
4.312485e+09,-1.716277e-01
4.349984e+09,-1.678898e-01
4.387483e+09,-1.850911e-01
4.424982e+09,-1.934024e-01
4.462481e+09,-2.046366e-01
4.499980e+09,-2.021427e-01
4.537479e+09,-1.839202e-01
4.574978e+09,-1.648445e-01
4.612477e+09,-1.608764e-01
4.649976e+09,-8.609146e-02
4.687475e+09,-1.324385e-01
4.724974e+09,-5.213913e-02
4.762473e+09,-4.624013e-02
4.799972e+09,-4.818958e-02
4.837471e+09,4.017723e-02
4.874970e+09,5.517456e-03
4.912469e+09,3.316332e-02
4.949968e+09,4.067605e-02
4.987467e+09,5.390951e-02
5.024966e+09,4.341405e-02
5.062465e+09,6.749109e-02
5.099964e+09,5.290330e-02
5.137463e+09,3.311805e-02
